,userId,movieId,rating,genres
0,0,1,4.0,Adventure|Animation|Children|Comedy|Fantasy
1,0,3,4.0,Comedy|Romance
2,0,6,4.0,Action|Crime|Thriller
3,0,47,5.0,Mystery|Thriller
4,0,50,5.0,Crime|Mystery|Thriller
5,0,70,3.0,Action|Comedy|Horror|Thriller
6,0,101,5.0,Adventure|Comedy|Crime|Romance
7,0,110,4.0,Action|Drama|War
8,0,151,5.0,Action|Drama|Romance|War
9,0,157,5.0,Comedy|War
10,0,163,5.0,Action|Romance|Western
11,0,216,5.0,Comedy
12,0,223,3.0,Comedy
13,0,231,5.0,Adventure|Comedy
14,0,235,4.0,Comedy|Drama
15,0,260,5.0,Action|Adventure|Sci-Fi
16,0,296,3.0,Comedy|Crime|Drama|Thriller
17,0,316,3.0,Action|Adventure|Sci-Fi
18,0,333,5.0,Comedy
19,0,349,4.0,Action|Crime|Drama|Thriller
20,0,356,4.0,Comedy|Drama|Romance|War
21,0,362,5.0,Adventure|Children|Romance
22,0,367,4.0,Action|Comedy|Crime|Fantasy
23,0,423,3.0,Action|Thriller
24,0,441,4.0,Comedy
25,0,457,5.0,Thriller
26,0,480,4.0,Action|Adventure|Sci-Fi|Thriller
27,0,500,3.0,Comedy|Drama
28,0,527,5.0,Drama|War
29,0,543,4.0,Comedy|Romance|Thriller
30,0,552,4.0,Action|Adventure|Comedy|Romance
31,0,553,5.0,Action|Drama|Western
32,0,590,4.0,Adventure|Drama|Western
33,0,592,4.0,Action|Crime|Thriller
34,0,593,4.0,Crime|Horror|Thriller
35,0,596,5.0,Animation|Children|Fantasy|Musical
36,0,608,5.0,Comedy|Crime|Drama|Thriller
37,0,648,3.0,Action|Adventure|Mystery|Thriller
38,0,661,5.0,Adventure|Animation|Children|Fantasy|Musical
39,0,673,3.0,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
40,0,733,4.0,Action|Adventure|Thriller
41,0,736,3.0,Action|Adventure|Romance|Thriller
42,0,780,3.0,Action|Adventure|Sci-Fi|Thriller
43,0,804,4.0,Comedy|Romance
44,0,919,5.0,Adventure|Children|Fantasy|Musical
45,0,923,5.0,Drama|Mystery
46,0,940,5.0,Action|Adventure|Romance
47,0,943,4.0,Drama|Fantasy|Romance
48,0,954,5.0,Drama
49,0,1009,3.0,Adventure|Children|Fantasy
50,0,1023,5.0,Animation|Children|Musical
51,0,1024,5.0,Animation|Children|Musical
52,0,1025,5.0,Animation|Children|Fantasy|Musical
53,0,1029,5.0,Animation|Children|Drama|Musical
